time,USD_JPY_close,USD_JPY_volume
2019-01-21T03:55:00.000000000Z,109.631,30
2019-01-21T04:00:00.000000000Z,109.600,77
2019-01-21T04:05:00.000000000Z,109.600,32
2019-01-21T04:10:00.000000000Z,109.609,20
2019-01-21T04:15:00.000000000Z,109.609,28
2019-01-21T04:20:00.000000000Z,109.599,40
2019-01-21T04:25:00.000000000Z,109.609,36
2019-01-21T04:30:00.000000000Z,109.605,32
2019-01-21T04:35:00.000000000Z,109.605,34
2019-01-21T04:40:00.000000000Z,109.593,25
2019-01-21T04:45:00.000000000Z,109.583,28
2019-01-21T04:50:00.000000000Z,109.586,15
2019-01-21T04:55:00.000000000Z,109.590,44
2019-01-21T05:00:00.000000000Z,109.590,52
2019-01-21T05:05:00.000000000Z,109.572,71
2019-01-21T05:10:00.000000000Z,109.587,34
2019-01-21T05:15:00.000000000Z,109.586,20
2019-01-21T05:20:00.000000000Z,109.592,33
2019-01-21T05:25:00.000000000Z,109.590,15
2019-01-21T05:30:00.000000000Z,109.581,22
2019-01-21T05:35:00.000000000Z,109.564,64
2019-01-21T05:40:00.000000000Z,109.568,41
2019-01-21T05:45:00.000000000Z,109.556,33
2019-01-21T05:50:00.000000000Z,109.546,67
2019-01-21T05:55:00.000000000Z,109.552,41
2019-01-21T06:00:00.000000000Z,109.571,31
2019-01-21T06:05:00.000000000Z,109.562,34
2019-01-21T06:10:00.000000000Z,109.564,31
2019-01-21T06:15:00.000000000Z,109.564,36
2019-01-21T06:20:00.000000000Z,109.574,10
2019-01-21T06:25:00.000000000Z,109.564,30
2019-01-21T06:30:00.000000000Z,109.543,24
2019-01-21T06:35:00.000000000Z,109.550,37
2019-01-21T06:40:00.000000000Z,109.547,25
2019-01-21T06:45:00.000000000Z,109.570,20
2019-01-21T06:50:00.000000000Z,109.568,25
2019-01-21T06:55:00.000000000Z,109.557,25
2019-01-21T07:00:00.000000000Z,109.550,83
2019-01-21T07:05:00.000000000Z,109.574,62
2019-01-21T07:10:00.000000000Z,109.544,71
2019-01-21T07:15:00.000000000Z,109.558,72
2019-01-21T07:20:00.000000000Z,109.554,16
2019-01-21T07:25:00.000000000Z,109.537,37
2019-01-21T07:30:00.000000000Z,109.546,38
2019-01-21T07:35:00.000000000Z,109.550,41
2019-01-21T07:40:00.000000000Z,109.550,45
2019-01-21T07:45:00.000000000Z,109.541,22
2019-01-21T07:50:00.000000000Z,109.545,19
2019-01-21T07:55:00.000000000Z,109.582,55
2019-01-21T08:00:00.000000000Z,109.610,71
2019-01-21T08:05:00.000000000Z,109.582,46
2019-01-21T08:10:00.000000000Z,109.592,48
2019-01-21T08:15:00.000000000Z,109.614,44
2019-01-21T08:20:00.000000000Z,109.612,25
2019-01-21T08:25:00.000000000Z,109.646,44
2019-01-21T08:30:00.000000000Z,109.635,27
2019-01-21T08:35:00.000000000Z,109.630,38
2019-01-21T08:40:00.000000000Z,109.628,32
2019-01-21T08:45:00.000000000Z,109.644,49
2019-01-21T08:50:00.000000000Z,109.636,31
2019-01-21T08:55:00.000000000Z,109.630,34
2019-01-21T09:00:00.000000000Z,109.605,56
2019-01-21T09:05:00.000000000Z,109.597,43
2019-01-21T09:10:00.000000000Z,109.596,31
2019-01-21T09:15:00.000000000Z,109.604,33
2019-01-21T09:20:00.000000000Z,109.626,41
2019-01-21T09:25:00.000000000Z,109.646,18
2019-01-21T09:30:00.000000000Z,109.644,23
2019-01-21T09:35:00.000000000Z,109.632,30
2019-01-21T09:40:00.000000000Z,109.645,41
2019-01-21T09:45:00.000000000Z,109.646,8
2019-01-21T09:50:00.000000000Z,109.650,22
2019-01-21T09:55:00.000000000Z,109.674,43
2019-01-21T10:00:00.000000000Z,109.674,19
2019-01-21T10:05:00.000000000Z,109.674,25
2019-01-21T10:10:00.000000000Z,109.654,21
2019-01-21T10:15:00.000000000Z,109.651,26
2019-01-21T10:20:00.000000000Z,109.646,28
2019-01-21T10:25:00.000000000Z,109.650,15
2019-01-21T10:30:00.000000000Z,109.638,41
2019-01-21T10:35:00.000000000Z,109.632,24
2019-01-21T10:40:00.000000000Z,109.618,37
